"","title","link","guid","atom.link","media.content","media.description","media.credit","description","dc.creator","pubDate","category","category.1","category.2","category.3","category.4","category.5","category.6","category.7","category.8","category.9","category.10","category.11","category.12","category.13","category.14","category.15","category.16","category.17","category.18"
"21","Take a Number: Come On In. The Water’s Fine (Mostly).","https://www.nytimes.com/2017/05/01/science/urine-swimming-pools.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/01/science/urine-swimming-pools.html","#NA","#NA","Michael Phelps at the U.S. Olympic swimming trials in Omaha in July 2016. Chemists devised a new proxy for measuring the amount of urine in swimming pools.","Doug Mills/The New York Times","Chemists calculated how much urine is in swimming pools by measuring the presence of a proxy: an artificial sweetener that passes straight through the body.","STEPH YIN","Mon, 01 May 2017 15:28:39 GMT","Swimming Pools","Urine","Chemistry","Acesulfame Potassium (Artificial Sweetener)","Medicine and Health","Blackstock, Lindsay","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"22","‘Saturday Night Live’: The Most Memorable Moments This Season","https://www.nytimes.com/2017/05/19/arts/television/saturday-night-live-trump-spicer-baldwin.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/arts/television/saturday-night-live-trump-spicer-baldwin.html","#NA","#NA","Alec Baldwin as President Trump.","NBC","From President Trump and Sean Spicer to Hillary Clinton and politics in America, “S.N.L.” scored huge ratings and became appointment television again.","SOPAN DEB","Fri, 19 May 2017 13:28:11 GMT","Television","Saturday Night Live (TV Program)","Presidential Election of 2016","United States Politics and Government","National Broadcasting Co","Baldwin, Alec","McCarthy, Melissa","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"23","For Family of Times Square Crash Victim, ‘Nothing Is Safe Anymore’","https://www.nytimes.com/2017/05/19/nyregion/times-square-victim-remembered-as-a-delight-to-know-but-reserved.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/nyregion/times-square-victim-remembered-as-a-delight-to-know-but-reserved.html","#NA","#NA","Ms. Elsman, a high school student from Portage, Mich., was on a family trip to New York.","Yana Paskova for The New York Times","Alyssa Elsman, the 18-year-old killed on Thursday in a chaotic accident in Times Square, excelled in the culinary arts program at her high school in Portage, Mich.","SARAH MASLIN NIR","Fri, 19 May 2017 20:55:14 GMT","Murders, Attempted Murders and Homicides","Times Square and 42nd Street (Manhattan, NY)","Elsman, Alyssa (d 2017)","Rojas, Richard (1990- )","Drunken and Reckless Driving","Traffic Accidents and Safety","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"24","‘The Internet Is Broken’: @ev Is Trying to Salvage It","https://www.nytimes.com/2017/05/20/technology/evan-williams-medium-twitter-internet.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/technology/evan-williams-medium-twitter-internet.html","#NA","#NA","“I thought once everybody could speak freely and exchange information and ideas, the world is automatically going to be a better place,” Evan Williams says. “I was wrong about that.”","Jason Henry for The New York Times","The Twitter co-founder, Evan Williams, reflects on what the social media service has wrought on society and how he is trying to change things with Medium, the publishing site.","DAVID STREITFELD","Sat, 20 May 2017 09:00:38 GMT","Computers and the Internet","Twitter","Williams, Evan","Medium.com","Social Media","Writing and Writers","News and News Media","Silicon Valley (Calif)","Trump, Donald J","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"25","Preakness 2017 Picks: Experts’ Predictions to Win, Place and Show","https://www.nytimes.com/2017/05/19/sports/preakness-picks-predictions.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/sports/preakness-picks-predictions.html","#NA","#NA","Classic Empire during a training session at Pimlico.","Patrick Smith/Getty Images","Will Always Dreaming complete the second leg of horse racing’s Triple Crown? Joe Drape and Melissa Hoppert weigh in on the contenders.","JOE DRAPE and MELISSA HOPPERT","Fri, 19 May 2017 12:13:07 GMT","Horse Racing","Preakness Stakes","Pimlico Race Course","Always Dreaming","gambling","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"26","Square Feet: Remaking Baltimore’s Waterfront, With a Splash of Whiskey","https://www.nytimes.com/2017/05/16/realestate/under-armour-preakness-kevin-plank-sagamore-port-covington.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/16/realestate/under-armour-preakness-kevin-plank-sagamore-port-covington.html","#NA","#NA","Key’s Anthem, the first of a new fleet of water taxis owned by Sagamore Ventures, docking in Fells Point.","Jared Soares for The New York Times","With the help of a horse farm once owned by a Vanderbilt, the Under Armour founder Kevin Plank is restoring luster to Maryland traditions and landmarks.","MELISSA HOPPERT","Tue, 16 May 2017 18:46:39 GMT","Preakness Stakes","Under Armour Inc","Baltimore (Md)","Plank, Kevin A (1972- )","Vanderbilt, Alfred Gwynne","Restoration and Renovation","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"27","The Health Issue: The Rooster Attacked Me — and Yet I Loved Him","https://www.nytimes.com/2017/05/17/magazine/the-rooster-attacked-me-and-yet-i-loved-him.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/17/magazine/the-rooster-attacked-me-and-yet-i-loved-him.html","#NA","#NA","#NA","Illustration by Tim Lahan","The cruelest farmyard animal is revealing of human nature.","JOYCE CAROL OATES","Wed, 17 May 2017 11:43:13 GMT","Chickens","New York State","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"28","'Collect Evidence and Cover Your Backside’","https://www.nytimes.com/2017/05/20/insider/collect-evidence-and-cover-your-backside.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/insider/collect-evidence-and-cover-your-backside.html","#NA","#NA","#NA","Russian Foreign Ministry, via Agence France-Presse — Getty Images","Our Top 10 Comments of the Week: Readers debate President Trump’s meeting with Russian officials, James Comey’s memo and the value of avocado toast.","MARIE TAE McDERMOTT and MICHAEL GOLD","Sat, 20 May 2017 09:00:03 GMT","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"29","On Pro Basketball: Bring On the Monstars: Another Rout Shows LeBron James Is on Jordan’s Level","https://www.nytimes.com/2017/05/20/sports/basketball/lebron-james-cleveland-cavaliers-boston-celtics.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/sports/basketball/lebron-james-cleveland-cavaliers-boston-celtics.html","#NA","#NA","LeBron James blocks Avery Bradley’s lay-up on the way to Cleveland’s 130-86 victory over the Celtics in Boston on Friday in Game 2 of the Eastern Conference Finals.","Adam Glanzman/Getty Images","As the Cleveland Cavaliers blow through the N.B.A. playoffs, it’s time to admit that James has reached the same celestial level of a certain “Space Jam” star, an achievement worth celebrating.","HARVEY ARATON","Sat, 20 May 2017 16:31:18 GMT","Basketball","Playoff Games","Cleveland Cavaliers","National Basketball Assn","James, LeBron","Auriemma, Geno","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"30","Brazil President Says He Won’t Resign in Corruption Scandal","https://www.nytimes.com/2017/05/20/world/americas/michel-temer-brazil.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/americas/michel-temer-brazil.html","#NA","#NA","President Michel Temer of Brazil in Brasilia, the capital, on Saturday.","Evaristo Sa/Agence France-Presse — Getty Images","Michel Temer contended that the billionaire who secretly taped their discussion about obstructing graft inquiries had profited immensely from insider trading.","SIMON ROMERO","Sat, 20 May 2017 19:49:10 GMT","Temer, Michel (1940- )","Brazil","Corruption (Institutional)","Politics and Government","Bribery and Kickbacks","JBS SA","Rousseff, Dilma","Brasilia (Brazil)","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
